customer_no,buytabw,tabordrs,divsords,divwords,spgtabord,moslsdvs,moslsdvw,moslstab,orders
1,0,7,0,0,2,42,42,1.0184,10
2,0,6,0,4,5,42,29.5335,5.5519,9
3,0,1,0,3,0,42,0.7884,0.7884,3
4,0,9,1,9,5,22.0105,4.0736,0.3285,14
5,0,2,0,2,1,42,1.4126,12.4836,7
6,0,13,5,6,10,3.6465,1.4783,3.6465,58
7,0,2,0,0,0,42,42,8.0158,6
8,0,0,0,0,0,42,42,42,5
9,0,14,3,12,6,7.2602,3.1209,4.205,44
10,0,2,0,2,1,42,11.4652,11.4652,5
11,0,0,0,1,0,42,6.8003,42,5
12,1,15,1,22,4,16.9185,1.8725,4.6649,39
13,0,1,1,2,1,22.6675,2.431,28.2194,18
14,0,14,0,25,5,42,0.3614,4.435,25
15,0,1,3,2,0,12.0894,11.071,11.071,10
16,0,3,2,9,2,12.385,0.0329,12.385,12
17,0,3,0,4,2,42,3.0223,25.9527,16
18,0,5,1,11,2,23.7845,2.7924,6.1761,36
19,0,0,0,0,0,42,42,42,5
20,1,1,1,2,0,2.0039,7.8515,2.0039,5
21,0,12,0,13,9,42,0.3942,0.3942,25
22,0,11,2,2,7,30.8804,11.1695,5.5519,20
23,1,20,12,27,11,4.4021,0.0657,0.0657,39
24,0,4,0,1,3,42,16.6886,5.4205,6
25,0,5,2,7,4,1.9054,1.9054,1.9054,18
26,0,9,4,7,5,18.134,3.975,3.8108,17
27,0,18,10,6,10,10.5453,5.1905,4.9934,35
28,0,8,0,7,5,42,5.8147,8.8042,21
29,0,8,1,0,8,22.2405,42,20.3679,17
30,0,8,1,3,3,29.6321,5.3548,5.4205,13
31,0,1,0,0,1,42,42,8.2457,5
32,0,1,0,3,1,42,6.866,31.0118,9
33,0,0,2,2,0,0.7227,14.816,42,15
34,0,14,11,12,9,0.6242,0.6242,0.0986,40
35,0,11,5,6,2,1.2812,5.1248,0.6242,21
36,1,14,1,14,8,28.5808,0.0329,0.0329,21
37,1,15,4,12,8,6.406,5.1577,5.1577,21
